"CODIGO","TIPOCODIGO","TIPOPRODUCTO","NOMBRE","DENOMINACIONCOMUN","CONCENTRACION","FORMAFARMACEUTICA","FORMAFARMACEUTICASIMP","LABORATORIO","PAIS","PRESENTACION","UNIDADENVASE","SITUACION","NUMREGISTROSANITARIO"
"7750215028896","GTIN_13","PRODUCTO FARMACEUTICO","DESLORATADINA","DESLORATADINA","5 mg","TABLETA RECUBIERTA","TABLETA","PORTUGAL","PERÚ","CAJA TAB","100","ACTIVO","EN08918"
"7758586000558","GTIN_13","PRODUCTO FARMACEUTICO","HUNIBIR","ACICLOVIR","250 mg","POLVO PARA SOLUCION INYECTABLE","INYECTABLE","DISTOLOZA","INDIA","VIAL","1","ACTIVO","EE11577"
"8426594052904","GTIN_13","ALIMENTO","BLEMIL PLUS CONFORT","SUPLEMENTO ALIMENTICIO","","POLVO ORAL","POLVO","CONTINENTAL","ESPAÑA","LATA X 400 G","1","ACTIVO","I1000615E-NADSCN"
"8427030006246","GTIN_13","ALIMENTO","SIMILAC 2 HMO","SUPLEMENTO ALIMENTICIO","","POLVO ORAL","POLVO","ABBOTT","ESPAÑA","LATA X 350 G","1","ACTIVO","I1000722E/NAABLB"
"3282770072655","GTIN_13","COSMETICO","AVENE ANTI-AGING SUN CARE","PRODUCTOS DE PROTECCION SOLAR","","LOCION","SOLUCION TOPICA","EURODERMA","FRANCIA","FRASCO X 50 ML","1","ACTIVO","NSOC98269-2CO"
"3664798019353","GTIN_13","PRODUCTO FARMACEUTICO","ADACEL","VACUNA ANTIDIFTERICA, ANTITETANICA Y ANTIPERTUSICA","","SUSPENSION INYECTABLE","INYECTABLE","SANOFI AVENTIS","CANADÁ","VIAL X 0.5 ML","1","ACTIVO","BE00571"
"3701129803431","GTIN_13","COSMETICO","PHOTODERM COVER TOUCH TEINTEE DORE","PRODUCTOS DE PROTECCION SOLAR","SPF 50","LOCION","SOLUCION TOPICA","BIODERMA","FRANCIA","TUBO X 40 G","1","ACTIVO","NSOC46350-20PE"
"3701129803547","GTIN_13","COSMETICO","PHOTODERM FLUIDE MAX","PRODUCTOS DE PROTECCION SOLAR","SPF 100","LOCION","SOLUCION TOPICA","BIODERMA","FRANCIA","TUBO X 40 ML","1","ACTIVO","NSOC07881-21CO"
"3701129804384","GTIN_13","COSMETICO","PHOTODERM MAX AQUAFLUIDE TONO CLARO","PRODUCTOS DE PROTECCION SOLAR","SPF 50","LOCION","SOLUCION TOPICA","BIODERMA","FRANCIA","TUBO X 40 ML","1","ACTIVO","NSOC23245-15PE"
"3701129807385","GTIN_13","COSMETICO","PHOTODERM MAX AQUAFLUIDE NEUTRO","PRODUCTOS DE PROTECCION SOLAR","SPF 50","LOCION","SOLUCION TOPICA","BIODERMA","FRANCIA","TUBO X 40 ML","1","ACTIVO","NSOC23439-15PE"
"7703281001485","GTIN_13","COSMETICO","UMBRELLA KIDS EMULSION","PRODUCTOS DE PROTECCION SOLAR","SPF 50","EMULSION TOPICA","SOLUCION TOPICA","MEDIHEALTH","COLOMBIA","TUBO X 120 G","1","ACTIVO","NSOC56473-13CO"
"7730979099363","GTIN_13","PRODUCTO FARMACEUTICO","MACINTA","MACITENTAN","10 mg","COMPRIMIDO RECUBIERTO","TABLETA","TECNOFARMA","ARGENTINA","CAJA COMP","30","ACTIVO","EE09402"
"7751946004265","GTIN_13","PRODUCTO FARMACEUTICO","QUETIAPINA","QUETIAPINA","100 mg","TABLETA RECUBIERTA","TABLETA","SHERFARMA","INDIA","CAJA TAB","30","ACTIVO","EE11099"
"7753658000009","GTIN_13","PRODUCTO FARMACEUTICO","HIZALAB","CETIRIZINA","10 mg","TABLETA RECUBIERTA","TABLETA","VITA PHARMA","PERÚ","CAJA TAB","100","ACTIVO","EN04753"
"812608030088","GTIN_12","DISPOSITIVO MEDICO","ONETOUCH DELICA PLUS","ACCESORIOS PARA MEDIDORES DE GLUCOSA","","INSUMO MEDICO","DISPOSITIVO MEDICO","PLATINUM","JAPÓN","CAJA","100","ACTIVO","DM19330E"
"7755570000075","GTIN_13","PRODUCTO FARMACEUTICO","DOLORGEZE","KETOROLACO","10 mg","TABLETA RECUBIERTA","TABLETA","CFALAB","PERÚ","CAJA TAB","100","ACTIVO","EN08939"
"4030539200608","GTIN_13","PRODUCTO FARMACEUTICO","IBUPROFENO","IBUPROFENO","600 mg/100 mL","SOLUCION PARA PERFUSION","INYECTABLE","B.BRAUN","ESPAÑA","VIAL X 100 ML","1","ACTIVO","EE08963"
